"later",158,"later","later"
"law",158,"law","law"
"line",158,"line","line"
"pretti",158,"pretti","pretti"
"anyth",157,"anyth","anyth"
"bring",157,"bring","bring"
"kind",157,"kind","kind"
"continu",156,"continu","continu"
"hes",156,"hes","hes"
"learn",156,"learn","learn"
"room",156,"room","room"
"almost",155,"almost","almost"
"countri",155,"countri","countri"
"ad",154,"ad","ad"
"came",154,"came","came"
"near",154,"near","near"
"someon",154,"someon","someon"
"anyon",152,"anyon","anyon"
"creat",152,"creat","creat"
"everyon",152,"everyon","everyon"
"heart",152,"heart","heart"
"s",152,"s","s"
"sever",152,"sever","sever"
"stay",152,"stay","stay"
"oh",151,"oh","oh"
"black",150,"black","black"
"fun",150,"fun","fun"
"project",150,"project","project"
"your",150,"your","your"
"ago",149,"ago","ago"
"ill",149,"ill","ill"
"past",149,"past","past"
"earli",148,"earli","earli"
"late",148,"late","late"
"white",148,"white","white"
"must",147,"must","must"
"pay",147,"pay","pay"
"power",147,"power","power"
"area",146,"area","area"
"less",146,"less","less"
"member",146,"member","member"
"record",146,"record","record"
"share",145,"share","share"
"hear",144,"hear","hear"
"experi",143,"experi","experi"
"order",143,"order","order"
"pick",143,"pick","pick"
"side",143,"side","side"
"student",143,"student","student"
"cours",141,"cours","cours"
"lol",141,"lol","lol"
"accord",140,"accord","accord"
"reason",140,"reason","reason"
"sound",140,"sound","sound"
"noth",139,"noth","noth"
"presid",139,"presid","presid"
"parti",138,"parti","parti"
"recent",138,"recent","recent"
"beer",137,"beer","beer"
"everyth",137,"everyth","everyth"
"far",137,"far","far"
"five",137,"five","five"
"import",137,"import","import"
"lost",137,"lost","lost"
"offici",137,"offici","offici"
"product",137,"product","product"
"univers",137,"univers","univers"
"base",136,"base","base"
"abl",135,"abl","abl"
"doesnt",135,"doesnt","doesnt"
"soon",135,"soon","soon"
"decid",134,"decid","decid"
"along",133,"along","along"
"often",133,"often","often"
"pleas",133,"pleas","pleas"
"small",133,"small","small"
"tonight",133,"tonight","tonight"
"yes",133,"yes","yes"
"mother",132,"mother","mother"
"pass",132,"pass","pass"
"eye",131,"eye","eye"
"program",131,"program","program"
"serv",131,"serv","serv"
"howev",130,"howev","howev"
"market",130,"market","market"
"nice",130,"nice","nice"
"short",130,"short","short"
"women",130,"women","women"
"fact",129,"fact","fact"
"health",129,"health","health"
"possibl",129,"possibl","possibl"
"system",129,"system","system"
"inform",128,"inform","inform"
"togeth",128,"togeth","togeth"
"check",127,"check","check"
"full",127,"full","full"
"quit",127,"quit","quit"
"visit",127,"visit","visit"
"challeng",126,"challeng","challeng"
"deal",126,"deal","deal"
"lead",126,"lead","lead"
"beauti",125,"beauti","beauti"
"boy",125,"boy","boy"
"eat",125,"eat","eat"
"mayb",125,"mayb","mayb"
"provid",125,"provid","provid"
"saw",125,"saw","saw"
"complet",124,"complet","complet"
"increas",124,"increas","increas"
"local",124,"local","local"
"rememb",124,"rememb","rememb"
"weekend",124,"weekend","weekend"
"buy",123,"buy","buy"
"cost",123,"cost","cost"
"drive",123,"drive","drive"
"seen",123,"seen","seen"
"spend",123,"spend","spend"
"begin",122,"begin","begin"
"event",122,"event","event"
"tax",122,"tax","tax"
"whole",122,"whole","whole"
"art",121,"art","art"
"favorit",121,"favorit","favorit"
"film",121,"film","film"
"friday",121,"friday","friday"
"pictur",121,"pictur","pictur"
"add",120,"add","add"
"communiti",120,"communiti","communiti"
"hold",120,"hold","hold"
"caus",119,"caus","caus"
"court",119,"court","court"
"forc",119,"forc","forc"
"larg",119,"larg","larg"
"major",119,"major","major"
"monday",119,"monday","monday"
"cover",118,"cover","cover"
"street",118,"street","street"
"there",118,"there","there"
"across",117,"across","across"
"appear",117,"appear","appear"
"movi",117,"movi","movi"
"problem",117,"problem","problem"
"special",117,"special","special"
"babi",116,"babi","babi"
"bill",116,"bill","bill"
"die",116,"die","die"
"els",116,"els","els"
"fire",116,"fire","fire"
"mind",116,"mind","mind"
"receiv",115,"receiv","receiv"
"sign",115,"sign","sign"
"design",114,"design","design"
"direct",114,"direct","direct"
